ID,Num,country,lat,lng
cotedivoire-1,1,cotedivoire,6.14522,-3.3865
cotedivoire-100,100,cotedivoire,7.14198,-3.19039
cotedivoire-101,101,cotedivoire,7.14024,-3.18513
cotedivoire-102,102,cotedivoire,5.34457,-4.10293
cotedivoire-103,103,cotedivoire,5.36731,-4.09949
cotedivoire-104,104,cotedivoire,5.33645,-4.0991
cotedivoire-105,105,cotedivoire,10.17716,-5.38191
cotedivoire-106,106,cotedivoire,5.33805,-4.09647
cotedivoire-107,107,cotedivoire,7.85367,-3.69748
cotedivoire-108,108,cotedivoire,10.06196,-5.28476
cotedivoire-109,109,cotedivoire,5.33294,-4.08286
cotedivoire-11,11,cotedivoire,9.15474,-7.08041
cotedivoire-110,110,cotedivoire,7.81998,-3.30049
cotedivoire-111,111,cotedivoire,10.17715,-5.38187
cotedivoire-112,112,cotedivoire,10.02051,-5.36413
cotedivoire-113,113,cotedivoire,7.81187,-3.52352
cotedivoire-114,114,cotedivoire,7.75273,-3.29273
cotedivoire-115,115,cotedivoire,9.53544,-5.37387
cotedivoire-116,116,cotedivoire,7.48646,-3.25237
cotedivoire-117,117,cotedivoire,5.36318,-4.10564
cotedivoire-118,118,cotedivoire,5.34938,-4.09388
cotedivoire-119,119,cotedivoire,7.55483,-3.23118
cotedivoire-120,120,cotedivoire,7.5549,-3.23072
cotedivoire-121,121,cotedivoire,9.57979,-5.09312
cotedivoire-122,122,cotedivoire,10.23346,-5.42414
cotedivoire-123,123,cotedivoire,10.25569,-5.38007
cotedivoire-125,125,cotedivoire,5.34966,-4.0966
cotedivoire-126,126,cotedivoire,5.33285,-4.11426
cotedivoire-127,127,cotedivoire,7.95614,-3.57679
cotedivoire-128,128,cotedivoire,10.22003,-5.31407
cotedivoire-129,129,cotedivoire,10.23182,-5.45262
cotedivoire-13,13,cotedivoire,9.3436,-7.00018
cotedivoire-131,131,cotedivoire,5.34105,-4.101
cotedivoire-132,132,cotedivoire,7.09968,-3.53385
cotedivoire-135,135,cotedivoire,10.09388,-7.47107
cotedivoire-136,136,cotedivoire,7.11473,-3.46734
cotedivoire-137,137,cotedivoire,9.70243,-7.84724
cotedivoire-138,138,cotedivoire,10.08025,-7.50553
cotedivoire-139,139,cotedivoire,5.31974,-4.10024
cotedivoire-14,14,cotedivoire,9.60649,-7.55302
cotedivoire-141,141,cotedivoire,5.3265,-4.09575
cotedivoire-142,142,cotedivoire,5.28271,-4.09086
cotedivoire-143,143,cotedivoire,10.18133,-5.13526
cotedivoire-144,144,cotedivoire,7.28469,-2.98054
cotedivoire-145,145,cotedivoire,10.07056,-5.07499
cotedivoire-146,146,cotedivoire,7.23795,-2.95912
cotedivoire-147,147,cotedivoire,7.55896,-2.97043
cotedivoire-148,148,cotedivoire,10.0614,-5.10784
cotedivoire-149,149,cotedivoire,6.54992,-4.85478
cotedivoire-15,15,cotedivoire,5.3208,-4.04195
cotedivoire-150,150,cotedivoire,6.42481,-4.82209
cotedivoire-153,153,cotedivoire,6.56851,-5.01674
cotedivoire-154,154,cotedivoire,6.55878,-5.01777
cotedivoire-155,155,cotedivoire,6.42518,-4.82194
cotedivoire-156,156,cotedivoire,6.64629,-5.12641
cotedivoire-157,157,cotedivoire,6.37566,-8.26041
cotedivoire-158,158,cotedivoire,6.50503,-8.3743
cotedivoire-16,16,cotedivoire,8.04405,-2.80698
cotedivoire-161,161,cotedivoire,6.66506,-5.11658
cotedivoire-162,162,cotedivoire,6.3164,-4.97051
cotedivoire-163,163,cotedivoire,6.56517,-8.32401
cotedivoire-165,165,cotedivoire,6.4751,-8.47644
cotedivoire-166,166,cotedivoire,6.56541,-5.02461
cotedivoire-168,168,cotedivoire,6.57607,-8.33887
cotedivoire-17,17,cotedivoire,9.26459,-5.37421
cotedivoire-170,170,cotedivoire,6.59104,-8.26866
cotedivoire-171,171,cotedivoire,6.50036,-8.40926
cotedivoire-172,172,cotedivoire,6.57839,-5.0607
cotedivoire-173,173,cotedivoire,6.37144,-8.27238
cotedivoire-174,174,cotedivoire,6.3434,-8.25298
