ID,lat,lng
cotedivoire-249,5.41351,-4.01256
cotedivoire-345,7.17429,-4.10099
cotedivoire-307,5.41485,-4.01811
cotedivoire-155,6.42518,-4.82194
cotedivoire-203,5.33625,-4.05864
cotedivoire-15,5.3208,-4.04195
cotedivoire-623,8.29095,-7.29851
cotedivoire-342,7.45684,-4.34312
cotedivoire-618,6.64323,-3.36087
cotedivoire-425,5.30547,-3.9443
cotedivoire-264,7.03935,-3.57719
cotedivoire-300,7.65276,-3.99843
cotedivoire-64,9.04256,-5.46184
cotedivoire-455,7.88246,-7.01168
cotedivoire-637,6.7251,-3.47577
cotedivoire-126,5.33285,-4.11426
cotedivoire-634,6.91022,-3.41664
cotedivoire-464,8.98963,-2.76124
cotedivoire-320,5.44099,-4.02965
cotedivoire-398,5.25075,-4.39868
cotedivoire-29,8.04278,-3.09723
cotedivoire-127,7.95614,-3.57679
cotedivoire-338,5.42076,-4.03041
cotedivoire-59,7.84016,-2.98785
cotedivoire-199,9.35245,-5.122225
cotedivoire-403,5.2471,-4.30792
cotedivoire-251,5.41092,-3.99888
cotedivoire-573,6.64437,-4.20409
cotedivoire-588,5.39194,-3.99673
cotedivoire-384,5.31313,-3.95114
cotedivoire-235,7.04025,-4.84393
cotedivoire-372,8.45034,-6.26994
cotedivoire-428,5.28277,-3.9665
cotedivoire-113,7.81187,-3.52352
cotedivoire-459,9.27555,-2.99544
cotedivoire-325,5.35413,-4.88949
cotedivoire-450,6.28094,-6.36049
cotedivoire-582,7.16551,-6.4854
cotedivoire-377,7.77341,-6.0584
cotedivoire-426,5.16774,-4.70015
cotedivoire-179,8.52343,-4.07542
cotedivoire-542,8.58383,-3.62986
cotedivoire-636,6.61999,-3.29219
cotedivoire-250,5.32341,-4.09307
cotedivoire-6,9.36248,-6.56476
cotedivoire-38,5.31243,-4.0437
cotedivoire-136,7.11473,-3.46734
cotedivoire-423,8.21413,-5.66478
cotedivoire-385,5.25697,-4.36421
cotedivoire-555,9.44171,-6.23332
cotedivoire-137,9.70243,-7.84724
cotedivoire-302,7.45406,-4.433842
cotedivoire-211,5.40267,-4.00611
cotedivoire-518,10.20487,-6.30436
cotedivoire-569,6.67602,-3.9692
cotedivoire-232,7.11957,-4.86433
cotedivoire-358,6.61349,-4.64043
cotedivoire-77,9.40191,-6.00878
cotedivoire-324,5.41559,-4.01667
cotedivoire-141,5.3265,-4.09575
cotedivoire-355,7.19607,-3.36761
cotedivoire-346,6.77657,-4.82827
cotedivoire-217,6.54053,-7.87296
cotedivoire-442,6.44851,-6.54759
cotedivoire-443,8.12262,-6.54219
cotedivoire-470,9.26938,-2.99492
cotedivoire-237,7.42884,-4.76376
cotedivoire-405,5.31831,-4.37808
cotedivoire-13,9.3436,-7.00018
cotedivoire-125,5.34966,-4.0966
cotedivoire-209,9.37458,-5.02862
cotedivoire-277,7.06655,-4.04089
cotedivoire-293,7.49078,-3.70655
cotedivoire-421,8.89827,-6.25548
cotedivoire-165,6.4751,-8.47644
cotedivoire-453,7.96677,-6.68517
cotedivoire-261,7.04439,-4.21171
cotedivoire-601,7.42171,-6.23392
cotedivoire-369,6.3844,-5.38125
cotedivoire-532,5.6454,-4.58122
cotedivoire-522,9.17171,-2.74549
cotedivoire-216,6.4831,-8.02242
cotedivoire-189,9.06159,-4.45014
cotedivoire-445,6.49556,-6.57631
cotedivoire-222,7.21591,-4.81044
cotedivoire-8,9.28261,-7.73711
cotedivoire-323,5.25552,-5.00809
cotedivoire-411,5.36357,-4.61605
cotedivoire-65,7.82293,-3.1141
cotedivoire-607,7.73755,-6.51301
cotedivoire-299,7.17419,-4.24938
cotedivoire-375,8.19248,-5.79969
cotedivoire-244,5.40216,-4.00284
cotedivoire-266,7.91913,-3.99715
cotedivoire-195,6.70693,-5.0297
cotedivoire-224,7.12654,-4.89671
cotedivoire-560,9.34609,-6.15878
cotedivoire-213,7.26826,-4.7805
cotedivoire-92,6.84212,-3.28763
cotedivoire-399,5.32137,-4.38614
cotedivoire-471,10.24109,-6.18163
cotedivoire-600,6.77621,-4.37782
cotedivoire-410,5.2497,-4.32082
cotedivoire-328,5.14999,-4.88239
cotedivoire-368,7.16511,-4.39147
cotedivoire-447,6.48361,-6.58718
cotedivoire-508,5.30125,-3.97925
cotedivoire-318,5.41773,-4.00775
cotedivoire-433,5.21503,-4.69847
cotedivoire-7,6.30455,-3.4692
cotedivoire-541,5.6447,-4.58267
cotedivoire-373,8.19664,-5.70452
cotedivoire-107,7.85367,-3.69748
cotedivoire-417,6.39475,-5.53418
cotedivoire-102,5.34457,-4.10293
cotedivoire-499,5.66455,-4.56561
cotedivoire-41,8.23364,-2.57725
cotedivoire-633,6.89424,-3.32573
cotedivoire-481,6.49203,-6.28741
cotedivoire-604,7.30363,-6.45126
cotedivoire-497,5.30545,-3.94427
cotedivoire-476,6.33543,-6.33546
cotedivoire-376,6.45156,-5.34239
cotedivoire-110,7.81998,-3.30049
cotedivoire-278,7.52202,-3.80441
cotedivoire-448,6.28088,-6.36063
cotedivoire-381,5.28621,-4.30518
cotedivoire-181,9.2042,-4.55912
cotedivoire-457,8.04402,-6.40905
cotedivoire-364,6.55849,-6.04228
cotedivoire-596,9.11357,-6.42231
cotedivoire-105,10.17716,-5.38191
cotedivoire-491,5.66993,-4.57594
cotedivoire-131,5.34105,-4.101
cotedivoire-380,5.24714,-3.92049
cotedivoire-280,6.72501,-4.85418
cotedivoire-67,5.34595,-4.02387
cotedivoire-68,5.36338,-4.02082
cotedivoire-50,6.32416,-3.44381
cotedivoire-51,10.01048,-7.12007
cotedivoire-95,10.04256,-7.40595
cotedivoire-506,5.72004,-4.61842
cotedivoire-308,5.26064,-4.99872
cotedivoire-177,5.36612,-4.07177
cotedivoire-188,9.16823,-4.47279
cotedivoire-2,6.29363,-3.31703
cotedivoire-354,7.7299,-3.94245
cotedivoire-390,5.32224,-4.38294
cotedivoire-572,7.09295,-6.88854
cotedivoire-238,7.44826,-4.72816
cotedivoire-201,5.34947,-4.05727
cotedivoire-139,5.31974,-4.10024
cotedivoire-187,5.36543,-4.0667
cotedivoire-16,8.04405,-2.80698
cotedivoire-32,8.51946,-2.60935
