ID,Num,country,lat,lng,Nex,Npos
cotedivoire-417,417,cotedivoire,6.39475,-5.53418,32,0
cotedivoire-132,132,cotedivoire,7.09968,-3.53385,31,1
cotedivoire-392,392,cotedivoire,5.24922,-3.94392,30,0
cotedivoire-340,340,cotedivoire,7.16508,-4.39155,32,0
cotedivoire-75,75,cotedivoire,9.30111,-6.06126,31,2
cotedivoire-593,593,cotedivoire,5.39318,-3.99337,30,0
cotedivoire-29,29,cotedivoire,8.04278,-3.09723,30,0
cotedivoire-211,211,cotedivoire,5.40267,-4.00611,30,0
cotedivoire-369,369,cotedivoire,6.3844,-5.38125,32,0
cotedivoire-62,62,cotedivoire,5.3731,-4.02627,30,0
cotedivoire-104,104,cotedivoire,5.33645,-4.0991,30,0
cotedivoire-291,291,cotedivoire,7.0129,-4.36401,34,0
cotedivoire-238,238,cotedivoire,7.44826,-4.72816,30,0
cotedivoire-580,580,cotedivoire,6.46887,-4.36511,30,0
cotedivoire-27,27,cotedivoire,7.9507,-3.01032,30,0
cotedivoire-634,634,cotedivoire,6.91022,-3.41664,32,0
cotedivoire-166,166,cotedivoire,6.56541,-5.02461,30,0
cotedivoire-25,25,cotedivoire,8.03432,-2.78704,30,0
cotedivoire-36,36,cotedivoire,9.26395,-5.37392,32,4
cotedivoire-549,549,cotedivoire,8.60997,-3.16825,32,0
cotedivoire-546,546,cotedivoire,9.31025,-6.13492,32,0
cotedivoire-357,357,cotedivoire,7.82678,-3.88538,30,0
cotedivoire-308,308,cotedivoire,5.26064,-4.99872,30,3
cotedivoire-30,30,cotedivoire,9.03582,-5.33081,30,2
cotedivoire-189,189,cotedivoire,9.06159,-4.45014,32,0
cotedivoire-462,462,cotedivoire,10.25971,-6.21211,31,1
cotedivoire-44,44,cotedivoire,6.07954,-3.40365,30,0
cotedivoire-149,149,cotedivoire,6.54992,-4.85478,30,0
cotedivoire-116,116,cotedivoire,7.48646,-3.25237,30,0
cotedivoire-63,63,cotedivoire,5.34778,-4.01522,30,5
cotedivoire-239,239,cotedivoire,7.45906,-4.78219,30,0
cotedivoire-136,136,cotedivoire,7.11473,-3.46734,30,0
cotedivoire-82,82,cotedivoire,7.17049,-3.23537,30,0
cotedivoire-399,399,cotedivoire,5.32137,-4.38614,30,0
cotedivoire-384,384,cotedivoire,5.31313,-3.95114,32,0
cotedivoire-59,59,cotedivoire,7.84016,-2.98785,31,0
cotedivoire-596,596,cotedivoire,9.11357,-6.42231,32,1
cotedivoire-48,48,cotedivoire,6.20023,-3.2949,31,1
cotedivoire-545,545,cotedivoire,8.677,-3.19111,30,0
cotedivoire-483,483,cotedivoire,5.27144,-3.97223,30,0
cotedivoire-597,597,cotedivoire,8.53508,-3.44289,30,0
cotedivoire-464,464,cotedivoire,8.98963,-2.76124,30,0
cotedivoire-510,510,cotedivoire,9.5922,-3.53053,30,0
cotedivoire-216,216,cotedivoire,6.4831,-8.02242,30,29
cotedivoire-625,625,cotedivoire,6.534,-3.23702,30,0
cotedivoire-320,320,cotedivoire,5.44099,-4.02965,30,0
cotedivoire-292,292,cotedivoire,7.45406,-4.33842,35,0
cotedivoire-4,4,cotedivoire,6.3248,-3.44416,30,0
cotedivoire-195,195,cotedivoire,6.70693,-5.0297,30,0
cotedivoire-228,228,cotedivoire,6.46447,-8.02142,30,6
cotedivoire-191,191,cotedivoire,5.33242,-4.0749,30,2
cotedivoire-325,325,cotedivoire,5.35413,-4.88949,32,0
cotedivoire-278,278,cotedivoire,7.52202,-3.80441,30,2
cotedivoire-142,142,cotedivoire,5.28271,-4.09086,30,0
cotedivoire-70,70,cotedivoire,10.00055,-6.02588,32,2
cotedivoire-587,587,cotedivoire,5.36892,-3.96688,31,0
